Customer_ID,Var1,Var2,Group,Category,Rating,Purchased_ABC_product,Probability of Purchase
5518,0.5459223880556195,0.44668691526397203,0,0,0,0,0.9004126690680803
40515,0.3876614663692013,0.03954925442462885,0,0,0,0,0.11513946866307258
52697,0.5352861952430736,0.2489649915768926,0,1,2,0,0.6544942430155963
68202,0.6179733370812708,0.1687714052840766,0,0,1,0,0.3435261641018178
130003,0.5586896415982172,0.17272759002280916,0,0,1,0,0.36522067525121016
175229,0.4635921996354794,0.19815067476124842,0,2,1,0,0.5243034563594693
175295,0.5447765132669523,0.21914667951402644,0,3,1,1,0.598193562525627
181524,0.6362355962626208,0.40457382644520395,0,0,2,1,0.8887266623783608
183955,0.6198896683490319,0.3229308906955014,0,1,2,1,0.7957754544254507
232643,0.22226006676861954,0.12740895842767525,0,0,1,1,0.32219063540940657
241012,0.45042770343450445,0.04525655067787733,0,0,0,0,0.11575840557153509
242249,0.6070584101317685,0.3615035162198593,0,1,1,1,0.8294972383082649
404966,0.4417055643109208,0.12573572135300617,0,0,2,1,0.32063325444162366
417265,0.48182887203559444,0.0,0,0,0,0,0.07257041788030986
419000,0.4996512430155233,0.19681637784306188,0,0,0,1,0.3903361061739671
679877,0.36624943654297903,0.11291579518682168,0,0,0,0,0.22600537191999515
695148,0.3890887455138161,0.0,0,0,0,0,0.07827052484092459
699073,0.25788788458741296,0.02694538705483553,0,0,0,0,0.11299931973494683
720912,0.49913428537102755,0.15059925005127875,0,0,0,0,0.28035043782087044
721109,0.5030940698910088,0.0,0,4,1,0,0.14468514006371325
731272,0.36019195531904635,0.12061696254068714,0,0,0,0,0.24180614282238125
735844,0.48214244051600086,0.07848853275143801,0,0,0,0,0.15399219026526764
738276,0.6076534839669295,0.49852335654385266,0,2,2,0,0.9679080935235334
749060,0.7056562196594205,0.41953376434575806,0,1,2,1,0.9108356175530822
761497,0.34670591053947813,0.03830145035728489,0,0,0,0,0.11747133229455355
761970,0.6141200439128642,0.13869049258081648,0,0,0,0,0.23644794294261265
764437,0.5528455938168453,0.12130825166233344,0,2,0,0,0.2664746934549529
773526,0.49937716926550013,0.17150498030635491,0,0,0,1,0.32783359626775815
774619,0.3297038512270535,0.03606073040417392,0,2,0,0,0.15019803218951627
777808,0.5316732140632378,0.2202228863700086,0,0,0,0,0.4446549808659246
807011,0.5786999307170217,0.3041420556836302,1,4,1,1,0.8139700049595631
828718,0.3447291569186013,0.16785055901349916,0,2,0,1,0.418657866637069
828848,0.33195683906243745,0.0,0,0,0,0,0.0819831953117201
833226,0.7527399880340299,0.4951563672290459,2,0,2,1,0.9545213513370235
840606,0.5699410457450783,0.2019847745107976,0,4,1,0,0.5835661257769281
861783,0.6313833695189796,0.4086711834341025,0,4,2,1,0.937701544688542
1219766,0.40924470714968686,0.23345740423508915,0,3,0,1,0.6146885486017764
1229151,0.6926690395136225,0.36234398488928155,0,1,2,1,0.8481276549411926
1271035,0.5389651363483958,0.13013500365438166,0,2,2,0,0.3783335672194416
1271374,0.376321014071216,0.0,3,0,0,0,0.09001719642297366
1281358,0.47059567689193227,0.20826215257872283,4,0,0,0,0.4728775688209116
1339951,0.4212716530469025,0.042833516639821746,0,0,0,0,0.11572145765472124
1346029,0.5370674532410316,0.16371273712829715,0,2,1,1,0.4162855005294757
1347141,0.5515207893396882,0.31930482202052296,0,2,1,1,0.7897353617136313
1348404,0.7105473718730255,0.5846472802281316,0,4,1,1,0.9870133026701727
1364536,0.4887212870669517,0.23035724107167221,0,2,1,1,0.6038811119611516
1365159,0.6452754878108875,0.45084140089222535,0,2,1,0,0.9343764833702565
1365638,0.5363438769202782,0.24119002290152505,0,0,0,1,0.49979738869470386
1575603,0.2460517408295168,0.0,0,0,0,0,0.08786794180155316
1623950,0.33018926549550676,0.055129733098525736,0,0,0,1,0.13931800072487704
1755088,0.6101663156044312,0.3255019024883779,0,0,1,1,0.739934920977523
1817854,0.45247669720686357,0.15205003893830094,0,0,1,1,0.33590436496424236
1827068,0.4096691171370449,0.0,0,0,0,0,0.07697123797143969
1829876,0.557077106327931,0.29487922636817826,0,2,1,0,0.7418527240532309
1834382,0.3873555561078793,0.17584144530223406,0,4,2,1,0.6038453275033445
1835592,0.6023234550537144,0.27468791659276376,5,0,0,1,0.6311365575440614
1860619,0.5690019518189886,0.3891618073379583,0,0,0,1,0.8267141397916598
1873115,0.46927550880402935,0.21183027725875056,0,0,0,1,0.4359612017895351
1873759,0.5477488189863768,0.07626682070749442,0,0,0,0,0.1436396328050543
1880022,0.29407135459177514,0.0,0,0,0,0,0.08453288995811789
1882962,0.45615693841164084,0.2065821313205673,0,0,0,1,0.424953788656719
1888269,0.509804605334303,0.3451365064865995,0,0,1,1,0.7933751608501032
1893949,0.32852978067287397,0.17040371591126677,0,2,2,0,0.5305153110524837
1899734,0.5701258268966121,0.2929337388898185,0,2,0,0,0.6939836543662863
1903659,0.581683206127759,0.12607166209690318,0,0,1,0,0.25444331699613415
1908289,0.4446529335710392,0.0,0,0,0,0,0.07480792586253168
1909276,0.3338080738893072,0.0500034122434333,0,3,0,1,0.19149628197392243
1914816,0.7314490378505282,0.4246977343088898,2,1,2,1,0.9206318972203015
1919587,0.42021737516203395,0.19280792004785585,0,1,1,1,0.4829366184457067
1928802,0.451310658839019,0.16391524250824244,0,0,0,0,0.31923766971383943
1933892,0.323905742851725,0.0,0,0,0,0,0.08251910622419113
1934474,0.5204207099261685,0.3774075771063506,0,2,0,0,0.8546502331108696
1960751,0.5055996691675702,0.15898866531806202,0,2,1,1,0.41068809765889097
1980510,0.3913203473934442,0.17272759002280916,0,0,0,0,0.352159631606146
1984769,0.4187304577583777,0.0,0,0,0,0,0.07640546588222573
1988717,0.5414404915958216,0.16752049739595623,0,0,1,0,0.3558111640312752
1993444,0.3857090776206848,0.26640556476264404,0,2,1,1,0.71102495310798
2008576,0.5679980463295872,0.29805324357742047,4,0,1,0,0.7263149879217392
2105675,0.46136776430505544,0.2623218197777348,4,2,1,1,0.7267589702161769
2112882,0.40059277525948467,0.0,4,3,0,0,0.13602584030489892
2143759,0.3265238207844602,0.12053035742782289,0,2,0,0,0.30547064587542605
2179713,0.5046385487122059,0.20354869709853413,4,0,0,1,0.45280821576696584
